dataset,attack_only,train_percentage,n_components,covariance_type,reg_covar,tune_components,selection_metric,accuracy,precision,recall,f1_score
CIC-IDS2017,True,2,1,tied,1e-09,True,aic,0.9941100172234152,0.98639873761318,0.9606662812151502,0.9728672817860724
CIC-IDS2017,True,2,1,tied,1e-09,True,accuracy,0.9941100172234152,0.98639873761318,0.9606662812151502,0.9728672817860724
CIC-IDS2017,True,2,1,tied,1e-09,True,f1_score,0.9941100172234152,0.98639873761318,0.9606662812151502,0.9728672817860724
CIC-IDS2017,True,2,3,tied,1e-09,False,aic,0.9935784303302218,0.9884120178598252,0.9562528204789028,0.971296425100588
CIC-IDS2017,True,2,1,tied,1e-06,True,aic,0.9942801250292372,0.9847319050938615,0.9647217655612804,0.9743076406575832
CIC-IDS2017,True,2,1,tied,1e-06,True,accuracy,0.9942801250292372,0.9847319050938615,0.9647217655612804,0.9743076406575832
CIC-IDS2017,True,2,1,tied,1e-06,True,f1_score,0.9942801250292372,0.9847319050938615,0.9647217655612804,0.9743076406575832
CIC-IDS2017,True,2,3,tied,1e-06,False,aic,0.9937485381360436,0.9867149073957832,0.959992881709056,0.9726215903588016
CIC-IDS2017,True,2,1,tied,0.001,True,aic,0.9937485381360436,0.9743705936370765,0.97253370402953,0.9731277158997624
CIC-IDS2017,True,2,2,tied,0.001,True,accuracy,0.9937060111845882,0.9729440166997736,0.9721013466461976,0.972158629078172
CIC-IDS2017,True,2,1,tied,0.001,True,f1_score,0.9937485381360436,0.9743705936370765,0.97253370402953,0.9731277158997624
CIC-IDS2017,True,2,3,tied,0.001,False,aic,0.9933232686214888,0.9748371481219024,0.9687453403793173,0.9714130477338648
CIC-IDS2017,True,2,1,diag,1e-09,True,aic,0.963192923515278,0.8770917914510191,0.9606146811231356,0.9033673605141402
CIC-IDS2017,True,2,3,diag,1e-09,True,accuracy,0.9926428373982012,0.9572803900041206,0.965125789963964,0.9610000937715092
CIC-IDS2017,True,2,3,diag,1e-09,True,f1_score,0.9926428373982012,0.9572803900041206,0.965125789963964,0.9610000937715092
CIC-IDS2017,True,2,3,diag,1e-09,False,aic,0.9926428373982012,0.9572803900041206,0.965125789963964,0.9610000937715092
CIC-IDS2017,True,2,1,diag,1e-06,True,aic,0.9621510132046184,0.8677557901376419,0.9474387363992246,0.890034573392627
CIC-IDS2017,True,2,3,diag,1e-06,True,accuracy,0.9929192625826616,0.9585638711736258,0.9658341373761612,0.9619645551713116
CIC-IDS2017,True,2,3,diag,1e-06,True,f1_score,0.9929192625826616,0.9585638711736258,0.9658341373761612,0.9619645551713116
CIC-IDS2017,True,2,3,diag,1e-06,False,aic,0.9929192625826616,0.9585638711736258,0.9658341373761612,0.9619645551713116
CIC-IDS2017,True,2,3,diag,0.001,True,aic,0.9775245061557762,0.9019953375891416,0.9628402750183755,0.925895547340128
CIC-IDS2017,True,2,3,diag,0.001,True,accuracy,0.9775245061557762,0.9019953375891416,0.9628402750183755,0.925895547340128
CIC-IDS2017,True,2,3,diag,0.001,True,f1_score,0.9775245061557762,0.9019953375891416,0.9628402750183755,0.925895547340128
CIC-IDS2017,True,2,3,diag,0.001,False,aic,0.9775245061557762,0.9019953375891416,0.9628402750183755,0.925895547340128
CIC-IDS2017,True,4,1,full,1e-09,True,aic,0.9969805864466604,0.9930784794261612,0.9774578117428652,0.9849369572911516
CIC-IDS2017,True,4,2,full,1e-09,True,accuracy,0.9977035446214038,0.9892781274004876,0.9839869741271992,0.986530587398474
CIC-IDS2017,True,4,2,full,1e-09,True,f1_score,0.9977035446214038,0.9892781274004876,0.9839869741271992,0.986530587398474
CIC-IDS2017,True,4,3,full,1e-09,False,aic,0.9969593229709328,0.9871109023381676,0.9802541527113005,0.9835213332207648
CIC-IDS2017,True,4,1,full,1e-06,True,aic,0.997278275106849,0.990733674484027,0.9826795125798856,0.986513126179991
CIC-IDS2017,True,4,1,full,1e-06,True,accuracy,0.997278275106849,0.990733674484027,0.9826795125798856,0.986513126179991
CIC-IDS2017,True,4,1,full,1e-06,True,f1_score,0.997278275106849,0.990733674484027,0.9826795125798856,0.986513126179991
CIC-IDS2017,True,4,3,full,1e-06,False,aic,0.997193221203938,0.9881726775223768,0.9811187190656612,0.9844949150188258
CIC-IDS2017,True,4,3,full,0.001,True,aic,0.996215101320462,0.979894738361481,0.9847271873913256,0.9820603412276536
CIC-IDS2017,True,4,3,full,0.001,True,accuracy,0.996215101320462,0.979894738361481,0.9847271873913256,0.9820603412276536
CIC-IDS2017,True,4,3,full,0.001,True,f1_score,0.996215101320462,0.979894738361481,0.9847271873913256,0.9820603412276536
CIC-IDS2017,True,4,3,full,0.001,False,aic,0.996215101320462,0.979894738361481,0.9847271873913256,0.9820603412276536
CIC-IDS2017,True,4,1,tied,1e-09,True,aic,0.9969805864466604,0.9930784794261612,0.9774578117428652,0.9849369572911516
CIC-IDS2017,True,4,1,tied,1e-09,True,accuracy,0.9969805864466604,0.9930784794261612,0.9774578117428652,0.9849369572911516
CIC-IDS2017,True,4,1,tied,1e-09,True,f1_score,0.9969805864466604,0.9930784794261612,0.9774578117428652,0.9849369572911516
CIC-IDS2017,True,4,3,tied,1e-09,False,aic,0.9961087839418232,0.9894272233333676,0.9695007792153816,0.9787317744631732
CIC-IDS2017,True,4,1,tied,1e-06,True,aic,0.997278275106849,0.990733674484027,0.9826795125798856,0.986513126179991
CIC-IDS2017,True,4,2,tied,1e-06,True,accuracy,0.997278275106849,0.990732600511226,0.982510712932318,0.9864224263749608
CIC-IDS2017,True,4,2,tied,1e-06,True,f1_score,0.997278275106849,0.990732600511226,0.982510712932318,0.9864224263749608
CIC-IDS2017,True,4,3,tied,1e-06,False,aic,0.9970443768738438,0.9904669212115336,0.979950145906422,0.9849938716052278
CIC-IDS2017,True,4,2,tied,0.001,True,aic,0.9959174126602734,0.9793874935538812,0.9841057836294764,0.9814882077509198
CIC-IDS2017,True,4,2,tied,0.001,True,accuracy,0.9959174126602734,0.9793874935538812,0.9841057836294764,0.9814882077509198
CIC-IDS2017,True,4,2,tied,0.001,True,f1_score,0.9959174126602734,0.9793874935538812,0.9841057836294764,0.9814882077509198
CIC-IDS2017,True,4,3,tied,0.001,False,aic,0.9957260413787238,0.9790883444646132,0.981999059734048,0.9802568817165452
CIC-IDS2017,True,4,1,diag,1e-09,True,aic,0.9592804439813732,0.8547457067897257,0.9354599544917168,0.8767928428213406
CIC-IDS2017,True,4,3,diag,1e-09,True,accuracy,0.9937698016117714,0.96210434438064,0.9754243934145328,0.9683607882336108
CIC-IDS2017,True,4,3,diag,1e-09,True,f1_score,0.9937698016117714,0.96210434438064,0.9754243934145328,0.9683607882336108
CIC-IDS2017,True,4,3,diag,1e-09,False,aic,0.9937698016117714,0.96210434438064,0.9754243934145328,0.9683607882336108
CIC-IDS2017,True,4,1,diag,1e-06,True,aic,0.9617895341172468,0.8658828893114222,0.9473537155494296,0.8903090438473645
CIC-IDS2017,True,4,3,diag,1e-06,True,accuracy,0.9934933764273108,0.9598709900383252,0.9748290625560688,0.9670522613464608
