model_name,accuracy,precision,recall,f1_score,roc_auc,best_hyperparameters
Full-Dataset_SupervisedGMM_AttackOnly_1%_Tune-1_f1_score,0.9929192625826617,0.9744058462727825,0.9661227125684171,0.9695967642836641,N/A (Multi),"{'covariance_type': 'tied', 'reg_covar': 0.001, 'selection_metric': 'f1_score', 'tune_components': True, 'n_components': 1}"
Full-Dataset_SupervisedGMM_AttackOnly_1%_Fixed-3_aic,0.992238831359374,0.9752089613514419,0.9605862151015888,0.967009400239638,N/A (Multi),"{'covariance_type': 'tied', 'reg_covar': 0.001, 'selection_metric': 'aic', 'tune_components': False, 'n_components': 3}"
Full-Dataset_SupervisedGMM_AttackOnly_1%_Tune-1_aic,0.9614918454570585,0.8617350393613287,0.9588663111215602,0.8921962714490407,N/A (Multi),"{'covariance_type': 'diag', 'reg_covar': 1e-09, 'selection_metric': 'aic', 'tune_components': True, 'n_components': 1}"
Full-Dataset_SupervisedGMM_AttackOnly_1%_Tune-2_accuracy,0.9795445363499118,0.8883270778162472,0.9075183737358526,0.8913430380588081,N/A (Multi),"{'covariance_type': 'diag', 'reg_covar': 1e-09, 'selection_metric': 'accuracy', 'tune_components': True, 'n_components': 2}"
Full-Dataset_SupervisedGMM_AttackOnly_1%_Tune-2_f1_score,0.9795445363499118,0.8883270778162472,0.9075183737358526,0.8913430380588081,N/A (Multi),"{'covariance_type': 'diag', 'reg_covar': 1e-09, 'selection_metric': 'f1_score', 'tune_components': True, 'n_components': 2}"
Full-Dataset_SupervisedGMM_AttackOnly_1%_Fixed-3_aic,0.9586425397095409,0.8512090593657219,0.9390381615923049,0.8791432374685423,N/A (Multi),"{'covariance_type': 'diag', 'reg_covar': 1e-09, 'selection_metric': 'aic', 'tune_components': False, 'n_components': 3}"
Full-Dataset_SupervisedGMM_AttackOnly_1%_Tune-1_aic,0.9611303663696867,0.8572042862820485,0.9527417716847331,0.887775037021564,N/A (Multi),"{'covariance_type': 'diag', 'reg_covar': 1e-06, 'selection_metric': 'aic', 'tune_components': True, 'n_components': 1}"
Full-Dataset_SupervisedGMM_AttackOnly_1%_Tune-2_accuracy,0.9817984647770525,0.8915773196236491,0.9109831924028198,0.8942591450898053,N/A (Multi),"{'covariance_type': 'diag', 'reg_covar': 1e-06, 'selection_metric': 'accuracy', 'tune_components': True, 'n_components': 2}"
Full-Dataset_SupervisedGMM_AttackOnly_1%_Tune-2_f1_score,0.9817984647770525,0.8915773196236491,0.9109831924028198,0.8942591450898053,N/A (Multi),"{'covariance_type': 'diag', 'reg_covar': 1e-06, 'selection_metric': 'f1_score', 'tune_components': True, 'n_components': 2}"
Full-Dataset_SupervisedGMM_AttackOnly_1%_Fixed-3_aic,0.9594505517871952,0.8517455084147384,0.9361598724160068,0.8785601059787997,N/A (Multi),"{'covariance_type': 'diag', 'reg_covar': 1e-06, 'selection_metric': 'aic', 'tune_components': False, 'n_components': 3}"
Full-Dataset_SupervisedGMM_AttackOnly_1%_Tune-3_aic,0.9527525569329562,0.8255644353860933,0.939602424666269,0.863695617915742,N/A (Multi),"{'covariance_type': 'diag', 'reg_covar': 0.001, 'selection_metric': 'aic', 'tune_components': True, 'n_components': 3}"
Full-Dataset_SupervisedGMM_AttackOnly_1%_Tune-2_accuracy,0.9715069425248251,0.8597031515923651,0.906666954282246,0.8699064623170698,N/A (Multi),"{'covariance_type': 'diag', 'reg_covar': 0.001, 'selection_metric': 'accuracy', 'tune_components': True, 'n_components': 2}"
Full-Dataset_SupervisedGMM_AttackOnly_1%_Tune-2_f1_score,0.9715069425248251,0.8597031515923651,0.906666954282246,0.8699064623170698,N/A (Multi),"{'covariance_type': 'diag', 'reg_covar': 0.001, 'selection_metric': 'f1_score', 'tune_components': True, 'n_components': 2}"
Full-Dataset_SupervisedGMM_AttackOnly_1%_Fixed-3_aic,0.9527525569329562,0.8255644353860933,0.939602424666269,0.863695617915742,N/A (Multi),"{'covariance_type': 'diag', 'reg_covar': 0.001, 'selection_metric': 'aic', 'tune_components': False, 'n_components': 3}"
